AMD A8-7410 @ 2.5GHz,AMD A8-7410 APU,2732
Intel ø·Ó£i7 5500U @ 2.4GHz,Intel Core i7-5500U @ 2.40GHz,3970
Intel ø·Ó£i5 5200U @ 2.2GHz,Intel Core i5-5200U @ 2.20GHz,3494
Intel ø·Ó£i7 5500U @ 2.4GHz,Intel Core i7-5500U @ 2.40GHz,3970
Intel ø·Ó£i5 5200U @ 2.2GHz,Intel Core i5-5200U @ 2.20GHz,3494
AMD A4-7210 @ 1.8GHz,AMD A4-7210 APU,2506
Intel ø·Ó£i7 5500U @ 2.4GHz,Intel Core i7-5500U @ 2.40GHz,3970
Intel »¸—ÔÀƒ∫À N2940 @ 1.83GHz,Intel Celeron N2940 @ 1.83GHz,1734
Intel »¸—ÔÀ´∫À N3050 @ 1.6GHz,Intel Celeron N3050 @ 1.60GHz,882
Intel »¸—ÔÀƒ∫À N2940 @ 1.83GHz,Intel Celeron N2940 @ 1.83GHz,1734
Intel »¸—ÔÀ´∫À N2840 @ 2.16GHz,Intel Celeron N2840 @ 2.16GHz,1009
Intel »¸—ÔÀƒ∫À N3150 @ 1.6GHz,Intel Celeron N3150 @ 1.60GHz,1661
AMD A8-6410 @ 2GHz,AMD A8-6410 APU,2556
AMD QC-4000 @ 1.3GHz,AMD QC-4000,1657
AMD A8-6410 @ 2GHz,AMD A8-6410 APU,2556
AMD A6-6310 @ 1.8GHz,AMD A6-6310 APU,2429
AMD E2-6110 @ 1.5GHz,AMD E2-6110 APU,1903
AMD E1-6010 @ 1.53GHz,AMD E1-6010 APU,852
AMD E1-6010 @ 1.53GHz,AMD E1-6010 APU,852
Intel »¸—ÔÀ´∫À N3050 @ 1.6GHz,Intel Celeron N3050 @ 1.60GHz,882
Intel »¸—ÔÀ´∫À N3060 @ 1.6GHz,Intel Celeron N3060 @ 1.60GHz,995
Intel »¸—ÔÀƒ∫À N3150 @ 1.6GHz,Intel Celeron N3150 @ 1.60GHz,1661
Intel »¸—ÔÀƒ∫À N3160 @ 1.6GHz,Intel Celeron N3160 @ 1.60GHz,1702
Intel ±ºÃ⁄Àƒ∫À N3700 @ 1.6GHz,Intel Pentium N3700 @ 1.60GHz,1851
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
AMD A4-5000M @ 1.5GHz,AMD A4-5000 APU,1903
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
Intel ø·Ó£i5 6200U @ 2.3GHz,Intel Core i5-6200U @ 2.30GHz,4009
Intel »¸—ÔÀƒ∫À N3150 @ 1.6GHz,Intel Celeron N3150 @ 1.60GHz,1661
Intel »¸—ÔÀ´∫À N3050 @ 1.6GHz,Intel Celeron N3050 @ 1.60GHz,882
Intel »¸—ÔÀƒ∫À N3150 @ 1.6GHz,Intel Celeron N3150 @ 1.60GHz,1661
Intel ø·Ó£i7 4702MQ @ 2.2GHz,Intel Core i7-4702MQ @ 2.20GHz,7132
Intel ø·Ó£i3 4000M @ 2.4GHz,Intel Core i3-4000M @ 2.40GHz,3237
Intel Atom Z3735F @ 1.33GHz,Intel Atom Z3735F @ 1.33GHz,907
Intel Atom Z3735F @ 1.33GHz,Intel Atom Z3735F @ 1.33GHz,907
AMD A10-7300 @ 1.9GHz,AMD A10-7300 APU,2915
Intel ø·Ó£i5 4258U @ 2.4GHz,Intel Core i5-4258U @ 2.40GHz,4093
Intel ø·Ó£i5 4210U @ 1.7GHz,Intel Core i5-4210U @ 1.70GHz,3399
Intel ø·Ó£i5 4258U @ 2.4GHz,Intel Core i5-4258U @ 2.40GHz,4093
Intel ø·Ó£i3 4010U @ 1.7GHz,Intel Core i3-4010U @ 1.70GHz,2445
Intel ø·Ó£i7 4510U @ 2GHz,Intel Core i7-4510U @ 2.00GHz,3935
AMD A10-7300 @ 1.9GHz,AMD A10-7300 APU,2915
Intel ø·Ó£i3 4030U @ 1.9GHz,Intel Core i3-4030U @ 1.90GHz,2707
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
Intel ø·Ó£i7 4510U @ 2GHz,Intel Core i7-4510U @ 2.00GHz,3935
Intel ø·Ó£i7 4558U @ 2.8GHz,Intel Core i7-4558U @ 2.80GHz,4361
Intel ø·Ó£i3 4010U @ 1.7GHz,Intel Core i3-4010U @ 1.70GHz,2445
Intel ø·Ó£i5 4210U @ 1.7GHz,Intel Core i5-4210U @ 1.70GHz,3399
Intel ø·Ó£i3 4005U @ 1.7GHz,Intel Core i3-4005U @ 1.70GHz,2450
Intel ø·Ó£i5 4210U @ 1.7GHz,Intel Core i5-4210U @ 1.70GHz,3399
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
Intel ø·Ó£i5 4210U @ 1.7GHz,Intel Core i5-4210U @ 1.70GHz,3399
Intel ø·Ó£i5 4258U @ 2.4GHz,Intel Core i5-4258U @ 2.40GHz,4093
Intel ø·Ó£i3 4005U @ 1.7GHz,Intel Core i3-4005U @ 1.70GHz,2450
Intel ø·Ó£i3 4030U @ 1.9GHz,Intel Core i3-4030U @ 1.90GHz,2707
Intel »¸—ÔÀ´∫À 2957U @ 1.4GHz,Intel Celeron 2957U @ 1.40GHz,1452
Intel ø·Ó£i3 4005U @ 1.7GHz,Intel Core i3-4005U @ 1.70GHz,2450
Intel ø·Ó£i3 4030U @ 1.9GHz,Intel Core i3-4030U @ 1.90GHz,2707
Intel ±ºÃ⁄À´∫À 3558U @ 1.7GHz,Intel Pentium 3558U @ 1.70GHz,1695
Intel ±ºÃ⁄À´∫À 3558U @ 1.7GHz,Intel Pentium 3558U @ 1.70GHz,1695
Intel ±ºÃ⁄À´∫À 3558U @ 1.7GHz,Intel Pentium 3558U @ 1.70GHz,1695
AMD Ryzen 5 2500U @ 2GHz,AMD Ryzen 5 2500U,7879
Intel ø·Ó£i5 8250U @ 1.6GHz,Intel Core i5-8250U @ 1.60GHz,7626
Intel ø·Ó£i5 8250U @ 1.6GHz,Intel Core i5-8250U @ 1.60GHz,7626
Intel ø·Ó£i7 8550U @ 1.8GHz,Intel Core i7-8550U @ 1.80GHz,8108
AMD Ryzen 7 2700U @ 2.2GHz,AMD Ryzen 3 2200U,5439
Intel ø·Ó£i5 5200U @ 2.2GHz,Intel Core i5-5200U @ 2.20GHz,3494
Intel ø·Ó£i5 5257U @ 2.7GHz,Intel Core i5-5257U @ 2.70GHz,4402
Intel ø·Ó£i5 4258U @ 2.4GHz,Intel Core i5-4258U @ 2.40GHz,4093
AMD E1-6010 @ 1.35GHz,AMD E1-6010 APU,852
Intel ø·Ó£i5 4210U @ 1.7GHz,Intel Core i5-4210U @ 1.70GHz,3399
AMD E2-6110 @ 1.5GHz,AMD E2-6110 APU,1903
Intel ø·Ó£i3 4005U @ 1.7GHz,Intel Core i3-4005U @ 1.70GHz,2450
Intel ø·Ó£i5 4210U @ 1.7GHz,Intel Core i5-4210U @ 1.70GHz,3399
Intel »¸—ÔÀƒ∫À N2940 @ 1.83GHz,Intel Celeron N2940 @ 1.83GHz,1734
Intel ø·Ó£i3 4030U @ 1.9GHz,Intel Core i3-4030U @ 1.90GHz,2707
AMD A8-6410 @ 2GHz,AMD A8-6410 APU,2556
Intel »¸—ÔÀ´∫À 2957U @ 1.4GHz,Intel Celeron 2957U @ 1.40GHz,1452
Intel ø·Ó£i3 4000M @ 2.4GHz,Intel Core i3-4000M @ 2.40GHz,3237
Intel ±ºÃ⁄Àƒ∫À N3530 @ 2.16GHz,Intel Pentium N3530 @ 2.16GHz,1891
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
AMD A6-6310 @ 1.8GHz,AMD A6-6310 APU,2429
Intel »¸—ÔÀ´∫À 2957U @ 1.4GHz,Intel Celeron 2957U @ 1.40GHz,1452
Intel ø·Ó£i5 4200U @ 1.6GHz,Intel Core i5-4200U @ 1.60GHz,3281
AMD A8-6410 @ 2GHz,AMD A8-6410 APU,2556
AMD E1-6010 @ 1.35GHz,AMD E1-6010 APU,852
Intel ø·Ó£i5 4210U @ 1.7GHz,Intel Core i5-4210U @ 1.70GHz,3399
Intel »¸—ÔÀ´∫À N2840 @ 2.16GHz,Intel Celeron N2840 @ 2.16GHz,1009
Intel ø·Ó£i3 4010U @ 1.7GHz,Intel Core i3-4010U @ 1.70GHz,2445
AMD A10-7300 @ 1.9GHz,AMD A10-7300 APU,2915
Intel ø·Ó£i3 4030U @ 1.9GHz,Intel Core i3-4030U @ 1.90GHz,2707
Intel ø·Ó£i3 4000M @ 2.4GHz,Intel Core i3-4000M @ 2.40GHz,3237
Intel »¸—ÔÀƒ∫À N2930 @ 1.83GHz,Intel Celeron N2930 @ 1.83GHz,1637
Intel »¸—ÔÀ´∫À N2830 @ 2.16GHz,Intel Celeron N2830 @ 2.16GHz,952
Intel »¸—ÔÀ´∫À N2830 @ 2.16GHz,Intel Celeron N2830 @ 2.16GHz,952
Intel »¸—ÔÀ´∫À N2840 @ 2.16GHz,Intel Celeron N2840 @ 2.16GHz,1009
